ticker,event_date,filing_date,transaction_type,shares_before,shares_after,event_type,direction,source
SNPS,2018-04-25,2018-04-26,Sale,,0,full_exit_sale,bearish,senate_disclosure
NVDA,2019-11-24,2019-11-29,Purchase,,3671,insider_buy,bullish,senate_disclosure
NVDA,2018-08-12,2018-08-14,Sale,,193,partial_insider_sale,bearish,senate_disclosure
SNPS,2019-07-13,2019-07-17,Purchase,,5546,insider_buy,bullish,senate_disclosure
NVDA,2020-02-17,2020-02-19,Sale,,0,full_exit_sale,bearish,senate_disclosure
CDNS,2018-04-15,2018-04-16,Purchase,,4825,insider_buy,bullish,senate_disclosure
SNPS,2018-09-28,2018-09-29,Sale,,0,full_exit_sale,bearish,senate_disclosure
NVDA,2019-07-20,2019-07-23,Sale,,2895,partial_insider_sale,bearish,senate_disclosure
NVDA,2019-11-09,2019-11-11,Sale,,113,partial_insider_sale,bearish,senate_disclosure
CDNS,2019-04-10,2019-04-13,Purchase,,3489,insider_buy,bullish,senate_disclosure
CDNS,2019-12-20,2019-12-21,Sale,,511,partial_insider_sale,bearish,senate_disclosure
CDNS,2019-01-24,2019-01-27,Sale,,0,full_exit_sale,bearish,senate_disclosure
NVDA,2018-08-23,2018-08-24,Sale,,0,full_exit_sale,bearish,senate_disclosure
SNPS,2020-01-06,2020-01-09,Purchase,,5049,insider_buy,bullish,senate_disclosure
CDNS,2018-05-27,2018-05-30,Purchase,,5851,insider_buy,bullish,senate_disclosure
SNPS,2019-08-22,2019-08-26,Sale,,576,partial_insider_sale,bearish,senate_disclosure
CDNS,2018-04-04,2018-04-05,Sale,,874,partial_insider_sale,bearish,senate_disclosure
NVDA,2019-01-30,2019-02-03,Sale,,2276,partial_insider_sale,bearish,senate_disclosure
NVDA,2019-11-28,2019-11-29,Sale,,2796,partial_insider_sale,bearish,senate_disclosure
CDNS,2019-03-22,2019-03-24,Sale,,741,partial_insider_sale,bearish,senate_disclosure
NVDA,2019-10-03,2019-10-06,Sale,,1262,partial_insider_sale,bearish,senate_disclosure
NVDA,2019-07-07,2019-07-12,Sale,,169,partial_insider_sale,bearish,senate_disclosure
CDNS,2020-05-01,2020-05-04,Purchase,,3921,insider_buy,bullish,senate_disclosure
NVDA,2018-03-29,2018-04-02,Sale,,1061,partial_insider_sale,bearish,senate_disclosure
CDNS,2019-07-17,2019-07-19,Purchase,,4049,insider_buy,bullish,senate_disclosure
SNPS,2019-12-08,2019-12-10,Sale,,2671,partial_insider_sale,bearish,senate_disclosure
CDNS,2019-06-14,2019-06-18,Purchase,,2121,insider_buy,bullish,senate_disclosure
NVDA,2019-08-26,2019-08-31,Purchase,,1968,insider_buy,bullish,senate_disclosure
SNPS,2019-10-09,2019-10-10,Purchase,,2167,insider_buy,bullish,senate_disclosure
NVDA,2019-06-11,2019-06-13,Purchase,,4564,insider_buy,bullish,senate_disclosure
NVDA,2020-01-11,2020-01-16,Sale,,1663,partial_insider_sale,bearish,senate_disclosure
NVDA,2018-04-07,2018-04-08,Sale,,1922,partial_insider_sale,bearish,senate_disclosure
SNPS,2018-02-25,2018-02-26,Purchase,,4568,insider_buy,bullish,senate_disclosure
NVDA,2018-09-12,2018-09-14,Purchase,,4112,insider_buy,bullish,senate_disclosure
NVDA,2018-10-13,2018-10-17,Purchase,,1674,insider_buy,bullish,senate_disclosure
SNPS,2018-04-11,2018-04-12,Sale,,774,partial_insider_sale,bearish,senate_disclosure
NVDA,2018-06-20,2018-06-24,Sale,,130,partial_insider_sale,bearish,senate_disclosure
CDNS,2018-01-03,2018-01-07,Purchase,,4461,insider_buy,bullish,senate_disclosure
SNPS,2020-01-19,2020-01-24,Sale,,0,full_exit_sale,bearish,senate_disclosure
NVDA,2018-03-01,2018-03-06,Sale,,68,partial_insider_sale,bearish,senate_disclosure
SNPS,2019-05-04,2019-05-09,Sale,,0,full_exit_sale,bearish,senate_disclosure
NVDA,2020-05-21,2020-05-23,Purchase,,2088,insider_buy,bullish,senate_disclosure
NVDA,2019-02-18,2019-02-19,Sale,,0,full_exit_sale,bearish,senate_disclosure
NVDA,2019-09-27,2019-09-28,Sale,,2601,partial_insider_sale,bearish,senate_disclosure
NVDA,2019-11-17,2019-11-20,Purchase,,3660,insider_buy,bullish,senate_disclosure
SNPS,2018-11-04,2018-11-08,Purchase,,763,insider_buy,bullish,senate_disclosure
SNPS,2019-07-31,2019-08-01,Purchase,,2932,insider_buy,bullish,senate_disclosure
NVDA,2018-12-24,2018-12-25,Sale,,0,full_exit_sale,bearish,senate_disclosure
SNPS,2019-12-22,2019-12-25,Sale,,0,full_exit_sale,bearish,senate_disclosure
SNPS,2018-11-03,2018-11-04,Sale,,0,full_exit_sale,bearish,senate_disclosure
SNPS,2019-07-21,2019-07-23,Purchase,,3344,insider_buy,bullish,senate_disclosure
NVDA,2019-12-05,2019-12-08,Sale,,218,partial_insider_sale,bearish,senate_disclosure
SNPS,2019-03-10,2019-03-13,Purchase,,4461,insider_buy,bullish,senate_disclosure
SNPS,2018-09-26,2018-09-28,Sale,,89,partial_insider_sale,bearish,senate_disclosure
NVDA,2019-12-09,2019-12-11,Sale,,616,partial_insider_sale,bearish,senate_disclosure
NVDA,2018-02-12,2018-02-15,Purchase,,2316,insider_buy,bullish,senate_disclosure
NVDA,2019-11-30,2019-12-02,Sale,,1674,partial_insider_sale,bearish,senate_disclosure
SNPS,2018-06-08,2018-06-10,Sale,,60,partial_insider_sale,bearish,senate_disclosure
SNPS,2018-12-07,2018-12-11,Sale,,0,full_exit_sale,bearish,senate_disclosure
SNPS,2018-04-21,2018-04-25,Sale,,0,full_exit_sale,bearish,senate_disclosure
